Actor_label,Country_label,Kpi_label_corporate,Fact_date,Kpi_value,Year,Quarter,Year_Quarter
Metrograph,USA,SVOD subscribers,2022-06-30,30940,2022,2,2022-Q2
iQiYi,USA,SVOD subscribers,2022-06-30,126680,2022,2,2022-Q2
Broadway HD,USA,SVOD subscribers,2022-06-30,7871,2022,2,2022-Q2
Frndly TV,USA,SVOD subscribers,2022-06-30,640411,2022,2,2022-Q2
Qwest TV,USA,SVOD subscribers,2022-06-30,30939,2022,2,2022-Q2
Smithsonian Earth TV,USA,SVOD subscribers,2022-06-30,4116,2022,2,2022-Q2
ESPN D2C,USA,SVOD subscribers,2022-06-30,22800000,2022,2,2022-Q2
FreeCast,USA,SVOD subscribers,2022-06-30,26385,2022,2,2022-Q2
Fandor,USA,SVOD subscribers,2022-06-30,52048,2022,2,2022-Q2
AMC Plus,USA,SVOD subscribers,2022-06-30,4938850,2022,2,2022-Q2
Rooster Teeth,USA,SVOD subscribers,2022-06-30,293867,2022,2,2022-Q2
Boomerang,USA,SVOD subscribers,2022-06-30,307622,2022,2,2022-Q2
The Criterion Channel,USA,SVOD subscribers,2022-06-30,54489,2022,2,2022-Q2
Magellan TV Now,USA,SVOD subscribers,2022-06-30,48029,2022,2,2022-Q2
Showtime Streaming,USA,SVOD subscribers,2022-06-30,12192710,2022,2,2022-Q2
Mubi,USA,SVOD subscribers,2022-06-30,51688,2022,2,2022-Q2
VRV,USA,SVOD subscribers,2022-06-30,494241,2022,2,2022-Q2
Hoichoi,USA,SVOD subscribers,2022-06-30,11920,2022,2,2022-Q2
Yuppflix,USA,SVOD subscribers,2022-06-30,8646,2022,2,2022-Q2
Paramount+,USA,SVOD subscribers,2022-06-30,38469526,2022,2,2022-Q2
Sling TV,USA,SVOD subscribers,2022-06-30,2197000,2022,2,2022-Q2
Pureflix,USA,SVOD subscribers,2022-06-30,720044,2022,2,2022-Q2
Nebula.tv,USA,SVOD subscribers,2022-06-30,313829,2022,2,2022-Q2
Discovery+,USA,SVOD subscribers,2022-06-30,12888707,2022,2,2022-Q2
Noggin,USA,SVOD subscribers,2022-06-30,2732551,2022,2,2022-Q2
Dekkoo,USA,SVOD subscribers,2022-06-30,3720,2022,2,2022-Q2
UFC Fight Pass,USA,SVOD subscribers,2022-06-30,599594,2022,2,2022-Q2
NBA League Pass,USA,SVOD subscribers,2022-06-30,4807198,2022,2,2022-Q2
Gaia.com,USA,SVOD subscribers,2022-06-30,559781,2022,2,2022-Q2
Flixfling,USA,SVOD subscribers,2022-06-30,4057,2022,2,2022-Q2
Retrocrush,USA,SVOD subscribers,2022-06-30,34382,2022,2,2022-Q2
Brown Sugar,USA,SVOD subscribers,2022-06-30,7282,2022,2,2022-Q2
TVPlayer USA,USA,SVOD subscribers,2022-06-30,33696,2022,2,2022-Q2
BET+,USA,SVOD subscribers,2022-06-30,1770254,2022,2,2022-Q2
Fanatiz,USA,SVOD subscribers,2022-06-30,4719,2022,2,2022-Q2
PBS Passport,USA,SVOD subscribers,2022-06-30,171624,2022,2,2022-Q2
YouTube TV USA,USA,SVOD subscribers,2022-06-30,5021930,2022,2,2022-Q2
Indieflix,USA,SVOD subscribers,2022-06-30,6086,2022,2,2022-Q2
Fubo.tv USA,USA,SVOD subscribers,2022-06-30,852300,2022,2,2022-Q2
Netflix,USA,SVOD subscribers,2022-06-30,66114129,2022,2,2022-Q2
HooplaKidz Plus,USA,SVOD subscribers,2022-06-30,16395,2022,2,2022-Q2
TYT Network,USA,SVOD subscribers,2022-06-30,37719,2022,2,2022-Q2
Amazon Prime Video,USA,SVOD subscribers,2022-06-30,96873595,2022,2,2022-Q2
FUNimation,USA,SVOD subscribers,2022-06-30,103288,2022,2,2022-Q2
Chaiflicks,USA,SVOD subscribers,2022-06-30,18470,2022,2,2022-Q2
YouTube Premium,USA,SVOD subscribers,2022-06-30,11620731,2022,2,2022-Q2
The Film Detective,USA,SVOD subscribers,2022-06-30,6101,2022,2,2022-Q2
Dove Channel,USA,SVOD subscribers,2022-06-30,639330,2022,2,2022-Q2
FloSports,USA,SVOD subscribers,2022-06-30,639797,2022,2,2022-Q2
DirecTV Stream,USA,SVOD subscribers,2022-06-30,2009348,2022,2,2022-Q2
College Sports Live,USA,SVOD subscribers,2022-06-30,5020,2022,2,2022-Q2
Struum,USA,SVOD subscribers,2022-06-30,233672,2022,2,2022-Q2
MHz Choice,USA,SVOD subscribers,2022-06-30,218881,2022,2,2022-Q2
Viki,USA,SVOD subscribers,2022-06-30,162041,2022,2,2022-Q2
Starz,USA,SVOD subscribers,2022-06-30,12200000,2022,2,2022-Q2
Curia,USA,SVOD subscribers,2022-06-30,12758,2022,2,2022-Q2
AsianCrush,USA,SVOD subscribers,2022-06-30,30152,2022,2,2022-Q2
Acorn TV,USA,SVOD subscribers,2022-06-30,2317500,2022,2,2022-Q2
Cultpix,USA,SVOD subscribers,2022-06-30,29283,2022,2,2022-Q2
MLB.TV,USA,SVOD subscribers,2022-06-30,3725802,2022,2,2022-Q2
Hallmark+,USA,SVOD subscribers,2022-06-30,1301807,2022,2,2022-Q2
OUTtv,USA,SVOD subscribers,2022-06-30,2189,2022,2,2022-Q2
Fuse+,USA,SVOD subscribers,2022-06-30,72792,2022,2,2022-Q2
History Vault,USA,SVOD subscribers,2022-06-30,10993,2022,2,2022-Q2
NFL Game Pass,USA,SVOD subscribers,2022-06-30,176794,2022,2,2022-Q2
BlazeTV+,USA,SVOD subscribers,2022-06-30,480441,2022,2,2022-Q2
Eros Now,USA,SVOD subscribers,2022-06-30,109935,2022,2,2022-Q2
MyOutdoorTV,USA,SVOD subscribers,2022-06-30,14140,2022,2,2022-Q2
Kocowa+,USA,SVOD subscribers,2022-06-30,64966,2022,2,2022-Q2
Film Movement PLus,USA,SVOD subscribers,2022-06-30,34640,2022,2,2022-Q2
PaulaDeen.com,USA,SVOD subscribers,2022-06-30,39000,2022,2,2022-Q2
WOW Presents Plus,USA,SVOD subscribers,2022-06-30,37547,2022,2,2022-Q2
Hi-YAH,USA,SVOD subscribers,2022-06-30,22720,2022,2,2022-Q2
Poker Go,USA,SVOD subscribers,2022-06-30,8122,2022,2,2022-Q2
C Spire,USA,SVOD subscribers,2022-06-30,108060,2022,2,2022-Q2
Sun NXT,USA,SVOD subscribers,2022-06-30,16690,2022,2,2022-Q2
Met Opera on Demand,USA,SVOD subscribers,2022-06-30,33758,2022,2,2022-Q2
Motor Trend On Demand,USA,SVOD subscribers,2022-06-30,105388,2022,2,2022-Q2
Lifetime Movie Club,USA,SVOD subscribers,2022-06-30,300120,2022,2,2022-Q2
Curia,USA,SVOD subscribers,2022-09-30,15947,2022,3,2022-Q3
The Criterion Channel,USA,SVOD subscribers,2022-09-30,58849,2022,3,2022-Q3
OVID,USA,SVOD subscribers,2022-09-30,2055,2022,3,2022-Q3
Fox Nation,USA,SVOD subscribers,2022-09-30,1104750,2022,3,2022-Q3
Topic,USA,SVOD subscribers,2022-09-30,9017,2022,3,2022-Q3
Vidgo,USA,SVOD subscribers,2022-09-30,53467,2022,3,2022-Q3
Vix Premium,USA,SVOD subscribers,2022-09-30,19010,2022,3,2022-Q3
Night Flight Plus,USA,SVOD subscribers,2022-09-30,7000,2022,3,2022-Q3
The Film Detective,USA,SVOD subscribers,2022-09-30,6558,2022,3,2022-Q3
Chaiflicks,USA,SVOD subscribers,2022-09-30,20310,2022,3,2022-Q3
Metrograph,USA,SVOD subscribers,2022-09-30,32487,2022,3,2022-Q3
Cultpix,USA,SVOD subscribers,2022-09-30,31479,2022,3,2022-Q3
Struum,USA,SVOD subscribers,2022-09-30,245355,2022,3,2022-Q3
Flix Premiere,USA,SVOD subscribers,2022-09-30,80080,2022,3,2022-Q3
NFL+,USA,SVOD subscribers,2022-09-30,203313,2022,3,2022-Q3
Frndly TV,USA,SVOD subscribers,2022-09-30,681288,2022,3,2022-Q3
France channel,USA,SVOD subscribers,2022-09-30,21120,2022,3,2022-Q3
Film Movement PLus,USA,SVOD subscribers,2022-09-30,36372,2022,3,2022-Q3
DirecTV Stream,USA,SVOD subscribers,2022-09-30,2170096,2022,3,2022-Q3
Nebula.tv,USA,SVOD subscribers,2022-09-30,360904,2022,3,2022-Q3
Dropout,USA,SVOD subscribers,2022-09-30,282450,2022,3,2022-Q3
Magellan TV Now,USA,SVOD subscribers,2022-09-30,51631,2022,3,2022-Q3
Retrocrush,USA,SVOD subscribers,2022-09-30,36445,2022,3,2022-Q3
Arrow Player,USA,SVOD subscribers,2022-09-30,31232,2022,3,2022-Q3
True Story,USA,SVOD subscribers,2022-09-30,4479,2022,3,2022-Q3
WOW Presents Plus,USA,SVOD subscribers,2022-09-30,38485,2022,3,2022-Q3
TVPlayer USA,USA,SVOD subscribers,2022-09-30,40435,2022,3,2022-Q3
Fuse+,USA,SVOD subscribers,2022-09-30,83669,2022,3,2022-Q3
Bally Sports+,USA,SVOD subscribers,2022-09-30,55000,2022,3,2022-Q3
Eros Now,USA,SVOD subscribers,2022-09-30,118181,2022,3,2022-Q3
Kartina.TV,USA,SVOD subscribers,2022-09-30,48384,2022,3,2022-Q3
Indieflix,USA,SVOD subscribers,2022-09-30,6208,2022,3,2022-Q3
College Sports Live,USA,SVOD subscribers,2022-09-30,5522,2022,3,2022-Q3
FloSports,USA,SVOD subscribers,2022-09-30,671787,2022,3,2022-Q3
TYT Network,USA,SVOD subscribers,2022-09-30,38851,2022,3,2022-Q3
YouTube TV USA,USA,SVOD subscribers,2022-09-30,5273026,2022,3,2022-Q3
Fanatiz,USA,SVOD subscribers,2022-09-30,4766,2022,3,2022-Q3
Poker Go,USA,SVOD subscribers,2022-09-30,8203,2022,3,2022-Q3
Kocowa+,USA,SVOD subscribers,2022-09-30,66266,2022,3,2022-Q3
History Vault,USA,SVOD subscribers,2022-09-30,11213,2022,3,2022-Q3
Flixfling,USA,SVOD subscribers,2022-09-30,4138,2022,3,2022-Q3
Philo TV,USA,SVOD subscribers,2022-09-30,918005,2022,3,2022-Q3
Pantaya,USA,SVOD subscribers,2022-09-30,959414,2022,3,2022-Q3
Qello Concerts,USA,SVOD subscribers,2022-09-30,15674,2022,3,2022-Q3
Yuppflix,USA,SVOD subscribers,2022-09-30,8732,2022,3,2022-Q3
Pureflix,USA,SVOD subscribers,2022-09-30,743805,2022,3,2022-Q3
Broadway HD,USA,SVOD subscribers,2022-09-30,8028,2022,3,2022-Q3
F1 TV,USA,SVOD subscribers,2022-09-30,140190,2022,3,2022-Q3
AsianCrush,USA,SVOD subscribers,2022-09-30,30755,2022,3,2022-Q3
HiDive,USA,SVOD subscribers,2022-09-30,105930,2022,3,2022-Q3
ESPN D2C,USA,SVOD subscribers,2022-09-30,24300000,2022,3,2022-Q3
VRV,USA,SVOD subscribers,2022-09-30,499183,2022,3,2022-Q3
Mubi,USA,SVOD subscribers,2022-09-30,54014,2022,3,2022-Q3
Crunchyroll,USA,SVOD subscribers,2022-09-30,5063956,2022,3,2022-Q3
CuriosityStream,USA,SVOD subscribers,2022-09-30,804080,2022,3,2022-Q3
Dazn,USA,SVOD subscribers,2022-09-30,1178422,2022,3,2022-Q3
Tastemade+,USA,SVOD subscribers,2022-09-30,221277,2022,3,2022-Q3
MLB.TV,USA,SVOD subscribers,2022-09-30,4023866,2022,3,2022-Q3
Motor Trend On Demand,USA,SVOD subscribers,2022-09-30,107496,2022,3,2022-Q3
Allblk,USA,SVOD subscribers,2022-09-30,108070,2022,3,2022-Q3
Rooster Teeth,USA,SVOD subscribers,2022-09-30,296806,2022,3,2022-Q3
Laugh Out Loud,USA,SVOD subscribers,2022-09-30,12703,2022,3,2022-Q3
Viaplay,USA,SVOD subscribers,2022-09-30,40000,2022,3,2022-Q3
Hulu,USA,SVOD subscribers,2022-09-30,47200000,2022,3,2022-Q3
iQiYi,USA,SVOD subscribers,2022-09-30,129220,2022,3,2022-Q3
Fandor,USA,SVOD subscribers,2022-09-30,53089,2022,3,2022-Q3
Sling TV,USA,SVOD subscribers,2022-09-30,2411000,2022,3,2022-Q3
Showtime Streaming,USA,SVOD subscribers,2022-09-30,11887892,2022,3,2022-Q3
Boomerang,USA,SVOD subscribers,2022-09-30,316851,2022,3,2022-Q3
Univision Now,USA,SVOD subscribers,2022-09-30,21691,2022,3,2022-Q3
i-ON TV,USA,SVOD subscribers,2022-09-30,1725,2022,3,2022-Q3
Shudder,USA,SVOD subscribers,2022-09-30,1230500,2022,3,2022-Q3
Sundance Now,USA,SVOD subscribers,2022-09-30,1123500,2022,3,2022-Q3
Tennis Channel Plus,USA,SVOD subscribers,2022-09-30,22403,2022,3,2022-Q3
Noggin,USA,SVOD subscribers,2022-09-30,2759876,2022,3,2022-Q3
NBA League Pass,USA,SVOD subscribers,2022-09-30,4662982,2022,3,2022-Q3
Hallmark+,USA,SVOD subscribers,2022-09-30,1327843,2022,3,2022-Q3
PaulaDeen.com,USA,SVOD subscribers,2022-09-30,38610,2022,3,2022-Q3
Met Opera on Demand,USA,SVOD subscribers,2022-09-30,34433,2022,3,2022-Q3
Acorn TV,USA,SVOD subscribers,2022-09-30,2407500,2022,3,2022-Q3
Gaia.com,USA,SVOD subscribers,2022-09-30,573775,2022,3,2022-Q3
Fubo.tv USA,USA,SVOD subscribers,2022-09-30,1107900,2022,3,2022-Q3
FUNimation,USA,SVOD subscribers,2022-09-30,104837,2022,3,2022-Q3
YouTube Premium,USA,SVOD subscribers,2022-09-30,12862891,2022,3,2022-Q3
Starz,USA,SVOD subscribers,2022-09-30,12300000,2022,3,2022-Q3
Britbox,USA,SVOD subscribers,2022-09-30,1853432,2022,3,2022-Q3
PBS Passport,USA,SVOD subscribers,2022-09-30,169907,2022,3,2022-Q3
C Spire,USA,SVOD subscribers,2022-09-30,104819,2022,3,2022-Q3
Pumpone,USA,SVOD subscribers,2022-09-30,4592,2022,3,2022-Q3
Smithsonian Earth TV,USA,SVOD subscribers,2022-09-30,4198,2022,3,2022-Q3
BlazeTV+,USA,SVOD subscribers,2022-09-30,485245,2022,3,2022-Q3
Netflix,USA,SVOD subscribers,2022-09-30,66207955,2022,3,2022-Q3
Screambox,USA,SVOD subscribers,2022-09-30,141295,2022,3,2022-Q3
AMC Plus,USA,SVOD subscribers,2022-09-30,5130650,2022,3,2022-Q3
Izzy Stream Israel,USA,SVOD subscribers,2022-09-30,19345,2022,3,2022-Q3
Dekkoo,USA,SVOD subscribers,2022-09-30,3820,2022,3,2022-Q3
Hoichoi,USA,SVOD subscribers,2022-09-30,13110,2022,3,2022-Q3
MHz Choice,USA,SVOD subscribers,2022-09-30,229826,2022,3,2022-Q3
Disney+,USA,SVOD subscribers,2022-09-30,41760000,2022,3,2022-Q3
Demand Africa,USA,SVOD subscribers,2022-09-30,10495,2022,3,2022-Q3
BET+,USA,SVOD subscribers,2022-09-30,2034774,2022,3,2022-Q3
OUTtv,USA,SVOD subscribers,2022-09-30,2244,2022,3,2022-Q3
Sun NXT,USA,SVOD subscribers,2022-09-30,18360,2022,3,2022-Q3
Discovery+,USA,SVOD subscribers,2022-09-30,13010429,2022,3,2022-Q3
Dove Channel,USA,SVOD subscribers,2022-09-30,645723,2022,3,2022-Q3
HooplaKidz Plus,USA,SVOD subscribers,2022-09-30,16559,2022,3,2022-Q3
Brown Sugar,USA,SVOD subscribers,2022-09-30,7565,2022,3,2022-Q3
Hi-YAH,USA,SVOD subscribers,2022-09-30,23170,2022,3,2022-Q3
FreeCast,USA,SVOD subscribers,2022-09-30,28364,2022,3,2022-Q3
Peacock Premium,USA,SVOD subscribers,2022-09-30,15036447,2022,3,2022-Q3
Qwest TV,USA,SVOD subscribers,2022-09-30,35579,2022,3,2022-Q3
Paramount+,USA,SVOD subscribers,2022-09-30,40999526,2022,3,2022-Q3
Wow! TV+,USA,SVOD subscribers,2022-09-30,84656,2022,3,2022-Q3
Lifetime Movie Club,USA,SVOD subscribers,2022-09-30,302580,2022,3,2022-Q3
Amazon Prime Video,USA,SVOD subscribers,2022-09-30,97842331,2022,3,2022-Q3
Viki,USA,SVOD subscribers,2022-09-30,170143,2022,3,2022-Q3
UFC Fight Pass,USA,SVOD subscribers,2022-09-30,608588,2022,3,2022-Q3
HBO Max (2020-2023),USA,SVOD subscribers,2022-09-30,21438657,2022,3,2022-Q3
MyOutdoorTV,USA,SVOD subscribers,2022-09-30,15560,2022,3,2022-Q3
Apple TV+,USA,SVOD subscribers,2022-09-30,26345869,2022,3,2022-Q3
Acorn TV,USA,SVOD subscribers,2022-12-31,2655000,2022,4,2022-Q4
Dekkoo,USA,SVOD subscribers,2022-12-31,3910,2022,4,2022-Q4
Cultpix,USA,SVOD subscribers,2022-12-31,33840,2022,4,2022-Q4
Gaia.com,USA,SVOD subscribers,2022-12-31,607200,2022,4,2022-Q4
Vix Premium,USA,SVOD subscribers,2022-12-31,636400,2022,4,2022-Q4
Curia,USA,SVOD subscribers,2022-12-31,19934,2022,4,2022-Q4
Fubo.tv USA,USA,SVOD subscribers,2022-12-31,1300500,2022,4,2022-Q4
DirecTV Stream,USA,SVOD subscribers,2022-12-31,2343703,2022,4,2022-Q4
FUNimation,USA,SVOD subscribers,2022-12-31,106410,2022,4,2022-Q4
OUTtv,USA,SVOD subscribers,2022-12-31,2300,2022,4,2022-Q4
YouTube Premium,USA,SVOD subscribers,2022-12-31,14105052,2022,4,2022-Q4
Starz,USA,SVOD subscribers,2022-12-31,11600000,2022,4,2022-Q4
Chaiflicks,USA,SVOD subscribers,2022-12-31,22340,2022,4,2022-Q4
MyOutdoorTV,USA,SVOD subscribers,2022-12-31,17110,2022,4,2022-Q4
Britbox,USA,SVOD subscribers,2022-12-31,1946103,2022,4,2022-Q4
PBS Passport,USA,SVOD subscribers,2022-12-31,168208,2022,4,2022-Q4
Hi-YAH,USA,SVOD subscribers,2022-12-31,23640,2022,4,2022-Q4
C Spire,USA,SVOD subscribers,2022-12-31,101674,2022,4,2022-Q4
Vidgo,USA,SVOD subscribers,2022-12-31,61487,2022,4,2022-Q4
Met Opera on Demand,USA,SVOD subscribers,2022-12-31,35121,2022,4,2022-Q4
HBO Max (2020-2023),USA,SVOD subscribers,2022-12-31,21599447,2022,4,2022-Q4
Peacock Premium,USA,SVOD subscribers,2022-12-31,21000000,2022,4,2022-Q4
Qwest TV,USA,SVOD subscribers,2022-12-31,40916,2022,4,2022-Q4
Viaplay,USA,SVOD subscribers,2022-12-31,66000,2022,4,2022-Q4
Hulu,USA,SVOD subscribers,2022-12-31,48000000,2022,4,2022-Q4
FreeCast,USA,SVOD subscribers,2022-12-31,30492,2022,4,2022-Q4
iQiYi,USA,SVOD subscribers,2022-12-31,131800,2022,4,2022-Q4
Nebula.tv,USA,SVOD subscribers,2022-12-31,390000,2022,4,2022-Q4
Frndly TV,USA,SVOD subscribers,2022-12-31,724774,2022,4,2022-Q4
Fandor,USA,SVOD subscribers,2022-12-31,54150,2022,4,2022-Q4
Sling TV,USA,SVOD subscribers,2022-12-31,2334000,2022,4,2022-Q4
Discovery+,USA,SVOD subscribers,2022-12-31,13264634,2022,4,2022-Q4
Showtime Streaming,USA,SVOD subscribers,2022-12-31,11590695,2022,4,2022-Q4
Dropout,USA,SVOD subscribers,2022-12-31,335000,2022,4,2022-Q4
Boomerang,USA,SVOD subscribers,2022-12-31,326357,2022,4,2022-Q4
AMC Plus,USA,SVOD subscribers,2022-12-31,5658100,2022,4,2022-Q4
Univision Now,USA,SVOD subscribers,2022-12-31,21908,2022,4,2022-Q4
i-ON TV,USA,SVOD subscribers,2022-12-31,1725,2022,4,2022-Q4
Izzy Stream Israel,USA,SVOD subscribers,2022-12-31,21280,2022,4,2022-Q4
Shudder,USA,SVOD subscribers,2022-12-31,1357000,2022,4,2022-Q4
Arrow Player,USA,SVOD subscribers,2022-12-31,33568,2022,4,2022-Q4
Sundance Now,USA,SVOD subscribers,2022-12-31,1239000,2022,4,2022-Q4
Fox Nation,USA,SVOD subscribers,2022-12-31,1204178,2022,4,2022-Q4
Tennis Channel Plus,USA,SVOD subscribers,2022-12-31,20163,2022,4,2022-Q4
Demand Africa,USA,SVOD subscribers,2022-12-31,11124,2022,4,2022-Q4
Noggin,USA,SVOD subscribers,2022-12-31,2787475,2022,4,2022-Q4
Hallmark+,USA,SVOD subscribers,2022-12-31,1354400,2022,4,2022-Q4
BlazeTV+,USA,SVOD subscribers,2022-12-31,490098,2022,4,2022-Q4
Fuse+,USA,SVOD subscribers,2022-12-31,96171,2022,4,2022-Q4
PaulaDeen.com,USA,SVOD subscribers,2022-12-31,38224,2022,4,2022-Q4
NFL+,USA,SVOD subscribers,2022-12-31,233810,2022,4,2022-Q4
Bally Sports+,USA,SVOD subscribers,2022-12-31,82500,2022,4,2022-Q4
True Story,USA,SVOD subscribers,2022-12-31,5375,2022,4,2022-Q4
Topic,USA,SVOD subscribers,2022-12-31,9693,2022,4,2022-Q4
WOW Presents Plus,USA,SVOD subscribers,2022-12-31,39447,2022,4,2022-Q4
Yuppflix,USA,SVOD subscribers,2022-12-31,8819,2022,4,2022-Q4
Apple TV+,USA,SVOD subscribers,2022-12-31,28321810,2022,4,2022-Q4
Pureflix,USA,SVOD subscribers,2022-12-31,768351,2022,4,2022-Q4
Metrograph,USA,SVOD subscribers,2022-12-31,34111,2022,4,2022-Q4
Broadway HD,USA,SVOD subscribers,2022-12-31,8189,2022,4,2022-Q4
France channel,USA,SVOD subscribers,2022-12-31,23760,2022,4,2022-Q4
F1 TV,USA,SVOD subscribers,2022-12-31,126171,2022,4,2022-Q4
Hoichoi,USA,SVOD subscribers,2022-12-31,14420,2022,4,2022-Q4
AsianCrush,USA,SVOD subscribers,2022-12-31,31370,2022,4,2022-Q4
HiDive,USA,SVOD subscribers,2022-12-31,116820,2022,4,2022-Q4
Sun NXT,USA,SVOD subscribers,2022-12-31,20190,2022,4,2022-Q4
Magellan TV Now,USA,SVOD subscribers,2022-12-31,55503,2022,4,2022-Q4
ESPN D2C,USA,SVOD subscribers,2022-12-31,24900000,2022,4,2022-Q4
The Criterion Channel,USA,SVOD subscribers,2022-12-31,63557,2022,4,2022-Q4
VRV,USA,SVOD subscribers,2022-12-31,504175,2022,4,2022-Q4
Mubi,USA,SVOD subscribers,2022-12-31,56445,2022,4,2022-Q4
Flix Premiere,USA,SVOD subscribers,2022-12-31,84084,2022,4,2022-Q4
Paramount+,USA,SVOD subscribers,2022-12-31,46345526,2022,4,2022-Q4
Crunchyroll,USA,SVOD subscribers,2022-12-31,5804523,2022,4,2022-Q4
CuriosityStream,USA,SVOD subscribers,2022-12-31,820162,2022,4,2022-Q4
UFC Fight Pass,USA,SVOD subscribers,2022-12-31,617717,2022,4,2022-Q4
Dazn,USA,SVOD subscribers,2022-12-31,1296265,2022,4,2022-Q4
Film Movement PLus,USA,SVOD subscribers,2022-12-31,38191,2022,4,2022-Q4
Eros Now,USA,SVOD subscribers,2022-12-31,127044,2022,4,2022-Q4
Amazon Prime Video,USA,SVOD subscribers,2022-12-31,98820754,2022,4,2022-Q4
MLB.TV,USA,SVOD subscribers,2022-12-31,4345775,2022,4,2022-Q4
NBA League Pass,USA,SVOD subscribers,2022-12-31,5036020,2022,4,2022-Q4
Viki,USA,SVOD subscribers,2022-12-31,178650,2022,4,2022-Q4
Netflix,USA,SVOD subscribers,2022-12-31,67028032,2022,4,2022-Q4
Qello Concerts,USA,SVOD subscribers,2022-12-31,15831,2022,4,2022-Q4
Pumpone,USA,SVOD subscribers,2022-12-31,4683,2022,4,2022-Q4
Disney+,USA,SVOD subscribers,2022-12-31,41940000,2022,4,2022-Q4
Night Flight Plus,USA,SVOD subscribers,2022-12-31,6895,2022,4,2022-Q4
Smithsonian Earth TV,USA,SVOD subscribers,2022-12-31,4282,2022,4,2022-Q4
Lifetime Movie Club,USA,SVOD subscribers,2022-12-31,285360,2022,4,2022-Q4
Laugh Out Loud,USA,SVOD subscribers,2022-12-31,12957,2022,4,2022-Q4
Rooster Teeth,USA,SVOD subscribers,2022-12-31,299774,2022,4,2022-Q4
Brown Sugar,USA,SVOD subscribers,2022-12-31,8343,2022,4,2022-Q4
Allblk,USA,SVOD subscribers,2022-12-31,119180,2022,4,2022-Q4
Motor Trend On Demand,USA,SVOD subscribers,2022-12-31,109646,2022,4,2022-Q4
BET+,USA,SVOD subscribers,2022-12-31,2338821,2022,4,2022-Q4
Indieflix,USA,SVOD subscribers,2022-12-31,6332,2022,4,2022-Q4
The Film Detective,USA,SVOD subscribers,2022-12-31,7050,2022,4,2022-Q4
College Sports Live,USA,SVOD subscribers,2022-12-31,6074,2022,4,2022-Q4
TVPlayer USA,USA,SVOD subscribers,2022-12-31,48522,2022,4,2022-Q4
FloSports,USA,SVOD subscribers,2022-12-31,705377,2022,4,2022-Q4
HooplaKidz Plus,USA,SVOD subscribers,2022-12-31,16725,2022,4,2022-Q4
TYT Network,USA,SVOD subscribers,2022-12-31,40016,2022,4,2022-Q4
YouTube TV USA,USA,SVOD subscribers,2022-12-31,5536677,2022,4,2022-Q4
Retrocrush,USA,SVOD subscribers,2022-12-31,38632,2022,4,2022-Q4
Dove Channel,USA,SVOD subscribers,2022-12-31,652181,2022,4,2022-Q4
Fanatiz,USA,SVOD subscribers,2022-12-31,4814,2022,4,2022-Q4
Poker Go,USA,SVOD subscribers,2022-12-31,8285,2022,4,2022-Q4
MHz Choice,USA,SVOD subscribers,2022-12-31,241317,2022,4,2022-Q4
Kocowa+,USA,SVOD subscribers,2022-12-31,67591,2022,4,2022-Q4
OVID,USA,SVOD subscribers,2022-12-31,2173,2022,4,2022-Q4
History Vault,USA,SVOD subscribers,2022-12-31,11437,2022,4,2022-Q4
Struum,USA,SVOD subscribers,2022-12-31,257623,2022,4,2022-Q4
Flixfling,USA,SVOD subscribers,2022-12-31,4221,2022,4,2022-Q4
Wow! TV+,USA,SVOD subscribers,2022-12-31,93122,2022,4,2022-Q4
Philo TV,USA,SVOD subscribers,2022-12-31,936365,2022,4,2022-Q4
Kartina.TV,USA,SVOD subscribers,2022-12-31,50803,2022,4,2022-Q4
Screambox,USA,SVOD subscribers,2022-12-31,169554,2022,4,2022-Q4
Tastemade+,USA,SVOD subscribers,2022-12-31,237873,2022,4,2022-Q4
